Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.26104164123535,24.729264560959393,23.821665961295437,24.71816855711262,212818400
2015-01-05,23.57756996154785,24.110145998105324,23.391169279909636,24.030259507971074,257142000
2015-01-06,23.579795837402344,23.839426153600677,23.21808699514755,23.641929414645055,263188400
2015-01-07,23.910438537597656,24.010295840363796,23.677435907125776,23.788389218205115,160423600
2015-01-08,24.829130172729492,24.886826364711517,24.12124755318299,24.238859477265255,237458000
2015-01-09,24.855762481689453,25.130926233067406,24.456329864355926,25.002219979369574,214798000
2015-01-12,24.243297576904297,24.993341322659273,24.143440277820233,24.986684395122083,198603200
2015-01-13,24.458547592163086,25.03106707024186,24.167850465710284,24.72705439552256,268367600
2015-01-14,24.365339279174805,24.518453643730982,24.07686009393188,24.19668983120144,195826400
2015-01-15,23.704063415527344,24.4230403397773,23.668559239188266,24.409726485276778,240056000
2015-01-16,23.519874572753906,23.87270686480466,23.34456819649144,23.750657586073636,314053200
2015-01-20,24.12569236755371,24.181169032603083,23.63305931103312,23.930413423051302,199599600
2015-01-21,24.30986785888672,24.644945594224467,24.025825998667738,24.176722549122562,194303600
2015-01-22,24.942302703857422,24.957836098464018,24.34759293561303,24.467422705298063,215185600
2015-01-23,25.071006774902344,25.241874100812947,24.749241210117216,24.920110229040706,185859200
2015-01-26,25.097633361816406,25.37723612111665,25.03106240494394,25.239653434759713,222460000
2015-01-27,24.218881607055664,24.960050391214992,24.194471750232253,24.94673484648506,382274800
2015-01-28,25.58804702758789,26.211605664482956,25.58804702758789,26.102870222038018,585908400
2015-01-29,26.384695053100586,26.449048170199948,25.6435261294502,25.812175619330834,337745600
2015-01-30,25.99856948852539,26.62878321189425,25.929777313979535,26.27373310767148,334982000
2015-02-02,26.324777603149414,26.44460736236611,25.758916826474497,26.196073070372567,250956400
2015-02-03,26.329206466674805,26.426844175067043,26.098423504362938,26.2959201531949,207662800
2015-02-04,26.53114891052246,26.741961167377898,26.253765698617492,26.295928488591134,280598800
2015-02-05,26.72051239013672,26.78511946783196,26.566792043217205,26.738333684226184,168984800
2015-02-06,26.495506286621094,26.789578935429713,26.38857000537499,26.73833824448596,174826400
2015-02-09,26.6715030670166,26.698235861064884,26.384113633136508,26.410848126879227,155559200
2015-02-10,27.183902740478516,27.212865534998993,26.7695291157995,26.77175571561299,248034000
2015-02-11,27.82105827331543,27.82996977096396,27.2908369109358,27.350987395445394,294247200
2015-02-12,28.173059463500977,28.40029844206424,27.974783282031957,28.08394617190155,297898000
2015-02-13,28.311176300048828,28.35573208207253,27.99259752946636,28.35573208207253,217088800
2015-02-17,28.478275299072266,28.712197504693016,28.275542494241634,28.40252839737136,252609600
2015-02-18,28.676544189453125,28.68991058646957,28.393609654845907,28.43371054558967,179566800
2015-02-19,28.616390228271484,28.74560439039607,28.589657435896967,28.623073426365114,149449600
2015-02-20,28.85031509399414,28.85031509399414,28.527281357761577,28.65426553296407,195793600
2015-02-23,29.63006019592285,29.63006019592285,28.885967770766,28.966169573437323,283896400
2015-02-24,29.445133209228516,29.763713633734945,29.222350931728666,29.616676514731978,276912400
2015-02-25,28.692138671875,29.31815995946812,28.549558097335243,29.30924676140305,298846800
2015-02-26,29.055280685424805,29.155532087221516,28.206480271148433,28.692144279554135,365150000
2015-02-27,28.618627548217773,29.088698530921878,28.569615150067428,28.96171093588066,248059200
2015-03-02,28.758962631225586,29.024074078389088,28.582966132354017,28.794608610542358,192386800
2015-03-03,28.819128036499023,28.8547740321923,28.536193469691177,28.730016446655085,151265200
2015-03-04,28.636449813842773,28.863688826476082,28.587440810519748,28.76121082035997,126665200
2015-03-05,28.16191864013672,28.683228541068605,28.01710976775747,28.645355948203196,226068400
2015-03-06,28.20424461364746,28.821350963107626,28.128499431995095,28.605251815919722,291368400
2015-03-09,28.324548721313477,28.865911616282308,27.861161011018062,28.507230185990295,354114000
2015-03-10,27.738636016845703,28.342376093308992,27.580460722985116,28.16192290025722,275426400
2015-03-11,27.2329158782959,27.796554990966435,27.203954782675737,27.79210009152278,275756000
2015-03-12,27.725269317626953,27.82552241859193,27.09702301042018,27.248515112142833,193450800
2015-03-13,27.53367042541504,27.936907643564236,27.308661470752785,27.714125288670893,207309200
2015-03-16,27.83664894104004,27.83664894104004,27.373263028233684,27.598271937444117,143497200
2015-03-17,28.302278518676758,28.364657323615678,27.992611094376446,28.048306698742614,204092400
2015-03-18,28.620851516723633,28.774571896843646,28.153008876869432,28.29336115891731,261083600
2015-03-19,28.40475082397461,28.794619952931125,28.38247292797314,28.683228773229263,183238000
2015-03-20,28.048301696777344,28.60525594142023,27.883443213167936,28.5718399445157,274780400
2015-03-23,28.34014320373535,28.482723775101412,28.186422834730436,28.32009360761879,150838800
2015-03-24,28.22429656982422,28.525050703803593,28.19533377641262,28.344599243232636,131369200
2015-03-25,27.486888885498047,28.253260801348905,27.486888885498047,28.19088200814144,206620800
2015-03-26,27.678476333618164,27.821056889514004,27.313113446673285,27.348759435494394,190291600
2015-03-27,27.457927703857422,27.780961467554363,27.382182512251926,27.75200037071014,158184800
2015-03-30,28.15300750732422,28.15969070618787,27.62501270106702,27.636152498969455,188398800
2015-03-31,27.720815658569336,28.17974688447005,27.70522095768033,28.090633579520755,168362400
2015-04-01,27.680709838867188,27.874531115222556,27.42450977003734,27.80769572346012,162485600
2015-04-02,27.919086456298828,27.972553749023255,27.667342990847324,27.85447936523012,128880400
2015-04-06,28.371334075927734,28.40698007047401,27.698532075965176,27.729721471345883,148776000
2015-04-07,28.072805404663086,28.54287461627673,28.06612220587488,28.43594003627644,140049200
2015-04-08,27.981468200683594,28.159694794832983,27.84111590508492,28.03716379889343,149316800
2015-04-09,28.19533348083496,28.19979007963362,27.772048378461868,28.037158217371275,129936000
2015-04-10,28.315645217895508,28.34015142005019,27.905726381298937,28.059445095175164,160752000
2015-04-13,28.259946823120117,28.64313451901096,28.206479523558635,28.598575319935915,145460400
2015-04-14,28.137414932250977,28.35796900985864,28.050529941081454,28.293361916479697,102098400
2015-04-15,28.24435043334961,28.322323927981227,28.072808745160057,28.16192203889392,115881600
2015-04-16,28.108448028564453,28.315635677165186,28.095081631781955,28.13295422246197,113476000
2015-04-17,27.792102813720703,28.10177019607035,27.72749571744488,27.970329403426064,207828000
2015-04-20,28.42702865600586,28.542874734769516,27.885667455885272,27.97478073938513,188217200
2015-04-21,28.273317337036133,28.56070515902836,28.21984833321413,28.538428956978287,129740400
2015-04-22,28.654268264770508,28.709963859064892,28.141869817078955,28.29113360186119,150618000
2015-04-23,28.888187408447266,29.05527417379222,28.54733067909467,28.582976671554942,183083600
2015-04-24,29.024085998535156,29.10206118539142,28.790163837355443,29.07087179052673,178103600
2015-04-27,29.552078247070312,29.659016225812266,29.217904712126938,29.476333061669838,387816800
2015-04-28,29.086471557617188,29.97314461746118,28.865919142383383,29.955325015724814,475696000
2015-04-29,28.658723831176758,29.31593114028446,28.582978641519965,28.99735398411014,253544400
2015-04-30,27.881214141845703,28.658724142708316,27.754228258038946,28.658724142708316,332781600
2015-05-01,28.727785110473633,28.99067006724177,27.91463084297233,28.09285571406123,234050400
2015-05-04,28.672088623046875,29.088693941596958,28.57406384221156,28.850315188257536,203953200
2015-05-05,28.02602767944336,28.61639970242869,28.021571079442587,28.549564299976254,197085600
2015-05-06,27.850017547607422,28.237658298032912,27.482426389587683,28.19532911447298,288564000
2015-05-07,28.022279739379883,28.205724258322007,27.74487450055496,27.912659183982296,175763600
2015-05-08,28.550247192382812,28.550247192382812,28.212440161176175,28.339956473953013,222201600
2015-05-11,28.259416580200195,28.536820128929442,28.10505411598105,28.498789341360546,168143200
2015-05-12,28.158754348754883,28.384703237219156,27.923855029181347,28.09835088632985,192640000
2015-05-13,28.1900691986084,28.45405054686139,28.15874952227282,28.22138887494398,138776800
2015-05-14,28.847782135009766,28.847782135009766,28.447337485428147,28.503265718886325,180814000
2015-05-15,28.807518005371094,28.968591605131238,28.682239297466264,28.874632574202614,152832000
2015-05-18,29.125185012817383,29.243752584935958,28.715789967854153,28.720265181968493,203531600
2015-05-19,29.098346710205078,29.279553663900636,29.002148361133898,29.237047654793994,178532800
2015-05-20,29.09609603881836,29.3019114746299,28.9350224953854,29.082673812463543,145819600
2015-05-21,29.39365005493164,29.447342402219082,29.044658331536706,29.09835067882415,158921600
2015-05-22,29.650907516479492,29.747105842608658,29.3958749362504,29.44062024901081,182384000
2015-05-26,28.997669219970703,29.7336866795476,28.885812753714266,29.66433621664276,282790400
2015-05-27,29.539060592651367,29.588277721697445,29.09387394390166,29.158749206595562,183332800
2015-05-28,29.480894088745117,29.518924882950472,29.328770911923698,29.498791535475096,122933200
2015-05-29,29.145322799682617,29.40706654107393,29.060310786489495,29.35784941907672,203538000
2015-06-01,29.203481674194336,29.39363901250951,29.09386453334816,29.145317546675713,128451200
2015-06-02,29.07373809814453,29.230336489121086,28.930561938738983,29.051365436466924,134670400
2015-06-03,29.10951805114746,29.292964246214723,29.060300945816614,29.230324914627744,123934000
2015-06-04,28.93950843811035,29.212438520473214,28.838838289537883,28.988725562050465,153800400
2015-06-05,28.780672073364258,29.013335472547762,28.715796814385378,28.970829462297566,142507200
2015-06-08,28.590518951416016,28.905955066130172,28.37351709209542,28.836601176310815,210699200
2015-06-09,28.5054988861084,28.653150227541797,28.102816667896892,28.344425316106168,224301600
2015-06-10,28.832120895385742,28.935026922241622,28.60169516468053,28.61735500008826,156349200
2015-06-11,28.76724624633789,29.122949003049126,28.742637686299396,28.899236062185924,141563600
